Municipio;UF;Total;count;mean;std;min;25%;50%;75%;max
AGUA DOCE DO MARANHAO;MA;1861392;2607;714.0;188.64;205;600;690;800;1970
AGUA DOCE DO NORTE;ES;1128663;1656;681.56;158.1;180;600;650;750;1928
AGUA FRIA;BA;2973721;4571;650.56;112.54;205;600;600;700;1636
AGUA FRIA DE GOIAS;GO;379564;558;680.22;184.86;205;600;650;750;1652
AGUA LIMPA;GO;214899;330;651.21;119.21;255;600;600;740;1092
AGUA NOVA;RN;320630;490;654.35;139.75;230;600;650;750;1252
AGUA PRETA;PE;3522885;5207;676.57;160.25;205;600;650;750;2120
AGUA SANTA;RS;148280;218;680.18;145.98;230;600;650;750;1444
AGUAI;SP;1532310;2202;695.87;185.47;180;600;650;790;1896
AGUANIL;MG;242310;341;710.59;167.35;205;600;700;800;1352
AGUAS BELAS;PE;8168157;11815;691.34;175.94;205;600;650;750;2920
AGUAS DA PRATA;SP;154908;228;679.42;217.6;205;600;650;750;1616
AGUAS DE CHAPECO;SC;209466;307;682.3;173.44;205;600;650;771;1444
AGUAS DE LINDOIA;SP;342512;517;662.5;191.21;180;600;650;750;1494
AGUAS DE SANTA BARBARA;SP;310475;451;688.41;175.08;288;600;650;750;1728
AGUAS DE SAO PEDRO;SP;60611;89;681.02;179.78;280;600;650;700;1444
AGUAS FORMOSAS;MG;2440094;3691;661.09;152.18;180;600;600;750;2070
AGUAS FRIAS;SC;38764;55;704.8;157.36;230;600;650;775;1302
AGUAS LINDAS DE GOIAS;GO;18717732;26548;705.05;179.83;180;600;672;800;2738
AGUAS MORNAS;SC;64511;89;724.84;144.26;325;600;700;800;1110
AGUAS VERMELHAS;MG;1951515;2908;671.08;157.41;205;600;622;750;2404
AGUDO;RS;580760;886;655.49;171.04;205;600;650;750;1778
AGUDOS;SP;1093079;1612;678.09;193.02;180;600;650;750;1786
AGUDOS DO SUL;PR;674622;956;705.67;168.18;205;600;650;800;1736
AGUIA BRANCA;ES;681424;948;718.8;185.97;280;600;700;800;1970
AGUIAR;PB;694506;1017;682.9;144.95;300;600;650;750;1978
AGUIARNOPOLIS;TO;346523;505;686.18;227.65;180;600;650;800;1728
AIMORES;MG;1885535;2721;692.96;151.07;205;600;650;750;1886
AIQUARA;BA;611300;922;663.02;153.78;205;600;600;750;1836
AIUABA;CE;2272932;3473;654.46;149.04;205;600;600;750;2162
AIURUOCA;MG;209033;314;665.71;148.1;300;600;650;750;1644
AJURICABA;RS;203808;313;651.14;132.95;325;600;640;750;1152
ALAGOA;MG;221310;325;680.95;125.66;325;600;650;750;1288
ALAGOA GRANDE;PB;3614900;5271;685.81;181.87;205;600;650;750;2204
ALAGOA NOVA;PB;2138565;3095;690.97;186.81;180;600;650;750;2112
ALAGOINHA;PB;2002376;2974;673.29;158.71;205;600;650;750;1886
ALAGOINHA;PE;2026540;3026;669.71;153.52;180;600;613;750;2060
