;marca;preco
101;Cadeira Gamer Husky Gaming Avalanche, Rosa e Branco, Com Almofadas, Reclinável, Descanso de Braço 3D - HAV-PW;R$ 759,99
102;Cadeira Gamer Mymax Mx1, Giratória, Preto E Vermelho - mgch-8131/rd;R$ 466,65
103;Cadeira Gamer Husky Gaming Storm, Preto e Verde, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BG;R$ 699,99
104;Cadeira Gamer Mymax Mx9, até 150kg, Giratória, Com Almofadas, Reclinável, Preto/Roxo;R$ 636,65
105;Cadeira Gamer XT Racer Viking Series, Até 120Kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto e Branco - XTR-021;R$ 989,99
106;Cadeira Gamer PCYes Mad Racer V8 Turbo, Blue - V8TBMADAZ;R$ 1.189,99
107;Cadeira Gamer Husky Gaming Snow, Preto e Branco, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BW;R$ 485,05
108;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Vermelho, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA083;R$ 1.249,99
109;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA086;R$ 1.249,99
110;Cadeira Gamer ThunderX3 BC3, Black e Red- 67992;R$ 1.084,99
111;Cadeira Gamer Husky Gaming Blizzard 900, Preto, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA062;R$ 1.414,99
112;Cadeira Gamer Corsair TC200, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010043-WW;R$ 2.449,99
113;Pistão para Cadeiras Husky Gaming Snow, Polar e Frost - HAC-PSPF;R$ 59,99
114;Cadeira Gamer ThunderX3 TGC12, Até 120kg, Com Almofadas, Descanso de Braço 2D, Preto e Azul;R$ 1.144,99
115;Cadeira Gamer Mymax MX1, Peso Suportado até 120Kg, Giratória, Preto e Verde;R$ 466,65
116;Cadeira Gamer Profissional ThunderX3 TGC12, Suporta Até 150Kg, Preto E Verde;R$ 999,52
